,date,temperature_2m,apparent_temperature,snowfall,relative_humidity_2m,dew_point_2m,precipitation_probability,precipitation,rain,showers,snow_depth,weather_code,pressure_msl,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,visibility,temperature_180m,temperature_120m,temperature_80m,wind_gusts_10m,wind_direction_180m,vapour_pressure_deficit,et0_fao_evapotranspiration,evapotranspiration,surface_pressure,wind_direction_120m,wind_direction_80m,wind_direction_10m,wind_speed_180m,wind_speed_120m,wind_speed_80m,wind_speed_10m,soil_temperature_0cm,soil_temperature_6cm,soil_temperature_18cm,soil_temperature_54cm,soil_moisture_0_to_1cm,soil_moisture_1_to_3cm,soil_moisture_3_to_9cm,soil_moisture_9_to_27cm,soil_moisture_27_to_81cm
0,2023-01-01 00:00:00+00:00,11.1075,10.211172,0.0,94.0,10.17791,,0.0,0.0,0.0,0.0,45.0,1007.3,100.0,100.0,100.0,97.0,500.0,10.6465,9.629001,9.579,13.679999,265.60138,0.079444885,0.0,0.01,1001.1483,261.70294,224.9999,209.35765,37.550602,17.82399,17.81909,6.6087217,7.9465,8.3965,6.8965,4.8465,0.347,0.349,0.353,0.334,0.34
1,2023-01-01 01:00:00+00:00,11.057501,9.372974,0.0,95.0,10.286714,,0.0,0.0,0.0,0.0,45.0,1007.2,100.0,100.0,100.0,0.0,200.0,10.8465,9.679,9.479,23.4,268.5186,0.06598449,0.0,-0.0,1001.0481,259.47928,230.64827,227.38597,41.773964,26.161045,23.277834,12.229406,7.9465,8.3965,6.9465,4.8965,0.345,0.347,0.351,0.338,0.34
2,2023-01-01 02:00:00+00:00,10.807501,8.927717,0.0,94.0,9.880099,,0.0,0.0,0.0,0.0,45.0,1007.2,100.0,100.0,97.0,0.0,200.0,10.6465,10.629001,10.329,25.919998,273.9115,0.077879906,0.0,0.01,1001.0428,268.4307,235.2039,229.574,42.218346,26.833649,25.864943,12.768586,7.8465004,8.2965,6.9965,4.9465,0.34,0.342,0.346,0.34,0.34
3,2023-01-01 03:00:00+00:00,10.2075,8.373623,0.0,93.0,9.125606,,0.0,0.0,0.0,0.0,3.0,1008.0,100.0,100.0,0.0,0.0,12700.0,10.4465,10.729,10.479,21.599998,279.61966,0.08730316,0.0,0.02,1001.8246,281.1738,237.82881,231.63248,43.085846,30.338257,26.368616,11.019764,7.7965,8.2465,7.0465,4.9965,0.337,0.339,0.343,0.341,0.34
4,2023-01-01 04:00:00+00:00,10.1075,8.192934,0.0,91.0,8.704404,,0.0,0.0,0.0,0.0,0.0,1008.4,0.0,0.0,0.0,0.0,13500.0,10.7465,10.329,10.179,21.96,289.58408,0.111501575,0.0,0.01,1002.22,283.04562,247.01126,233.13002,39.738846,30.928858,25.809765,10.799999,7.4465,8.1465,7.0965,4.9965,0.334,0.336,0.34,0.341,0.34
5,2023-01-01 05:00:00+00:00,9.407499,7.563629,0.0,91.0,8.012131,,0.0,0.0,0.0,0.0,45.0,1008.8,100.0,100.0,0.0,0.0,200.0,10.7465,9.829,9.679,19.44,296.78705,0.106395245,0.0,0.01,1002.6024,294.10223,248.83867,236.3099,41.53751,30.59308,23.933907,9.085988,7.1465,7.9465,7.0965,5.0465,0.333,0.334,0.338,0.341,0.341
6,2023-01-01 06:00:00+00:00,9.0075,7.051362,0.0,92.0,7.7769413,,0.0,0.0,0.0,0.0,0.0,1009.6,7.0,7.0,0.0,0.0,12900.0,10.3465,9.679,9.729,20.16,306.33948,0.092062235,0.0,0.01,1003.3887,302.61923,234.86572,229.63554,38.881664,32.71924,23.770906,9.449572,6.6965,7.6965,7.0965,5.0965,0.331,0.333,0.336,0.341,0.341
7,2023-01-01 07:00:00+00:00,8.4575,6.209798,0.0,90.0,6.91132,,0.0,0.0,0.0,0.0,0.0,1010.5,2.0,1.0,2.0,0.0,13700.0,9.6465,9.679,9.629001,20.16,301.73346,0.110883296,0.0,0.01,1004.2712,293.9625,248.19853,239.74365,32.169178,28.951414,23.263912,10.00256,6.2965,7.2965,7.0465,5.1465,0.329,0.331,0.335,0.341,0.341
8,2023-01-01 08:00:00+00:00,8.657499,6.4506865,0.0,88.0,6.7810135,,0.0,0.0,0.0,0.0,0.0,1011.3,6.0,6.0,0.0,0.0,14800.0,8.9465,8.629001,8.579,17.64,306.86996,0.1348728,0.0028705401,0.0,1005.0706,291.25058,254.3204,240.5242,34.2,28.38627,21.313093,9.511088,6.3965,6.9465,6.9965,5.1465,0.328,0.33,0.334,0.34,0.341
9,2023-01-01 09:00:00+00:00,9.7575,7.710517,0.0,85.0,7.355921,,0.0,0.0,0.0,0.0,0.0,1012.1,5.0,5.0,0.0,0.0,17200.0,8.2465,8.179,8.279,18.72,307.98355,0.18154144,0.050493106,0.0,1005.88965,294.04422,270.0,270.0,33.342297,26.153301,14.4,9.36,8.1965,7.2465,6.9465,5.1965,0.327,0.329,0.333,0.34,0.342
10,2023-01-01 10:00:00+00:00,10.907499,7.732153,0.0,74.0,6.4538603,,0.0,0.0,0.0,0.0,0.0,1013.5,16.0,16.0,0.0,0.0,22300.0,7.5465,8.379001,8.579,28.8,308.96674,0.33976233,0.12144644,0.0,1007.3064,302.2756,273.3664,277.9434,31.485083,24.771988,18.391735,15.629972,10.3965,8.3965,6.9465,5.2465,0.326,0.328,0.332,0.34,0.342
11,2023-01-01 11:00:00+00:00,11.2075,6.701359,0.0,62.0,4.192687,,0.0,0.0,0.0,0.0,1.0,1013.9,46.0,46.0,34.0,0.0,29900.0,7.2465,8.279,8.479,29.16,304.74326,0.5065736,0.1534356,0.0,1007.71027,303.6901,288.2086,286.60706,27.162708,25.172087,28.802248,21.41319,11.3965,9.6465,7.0965,5.2465,0.325,0.326,0.331,0.339,0.342
12,2023-01-01 12:00:00+00:00,11.7075,7.6697083,0.0,58.0,3.7138343,,0.0,0.0,0.0,0.0,0.0,1013.4,9.0,9.0,0.0,0.0,32600.0,7.4465,8.679,8.879001,25.56,295.79596,0.5787147,0.20541665,0.0,1007.22406,302.00534,295.34613,295.51382,23.990698,24.265375,22.7057,17.551615,12.3465,10.6965,7.2965,5.2965,0.323,0.325,0.33,0.339,0.342
13,2023-01-01 13:00:00+00:00,12.3575,8.09472,0.0,55.0,3.5673058,,0.0,0.0,0.0,0.0,0.0,1013.7,6.0,6.0,0.0,0.0,35800.0,8.6465,9.729,9.929,33.839996,292.751,0.6471478,0.21847479,0.0,1007.53644,309.0194,290.3533,287.74475,24.20314,27.430801,23.806318,18.899143,12.8965,11.8965,7.5965,5.3465,0.322,0.324,0.329,0.338,0.343
14,2023-01-01 14:00:00+00:00,12.557501,8.175384,0.0,47.0,1.5388474,,0.0,0.0,0.0,0.0,0.0,1013.4,0.0,0.0,0.0,0.0,43200.0,9.1465,10.179,10.379001,25.199999,287.3006,0.772274,0.21188186,0.0,1007.24243,303.45334,290.05618,289.5732,23.000591,24.662743,24.144167,17.193533,12.7465,12.3965,7.8964996,5.3465,0.322,0.323,0.328,0.337,0.343
15,2023-01-01 15:00:00+00:00,12.307501,8.051263,0.0,44.0,0.39401615,,0.0,0.0,0.0,0.0,0.0,1013.7,0.0,0.0,0.0,0.0,46500.0,9.5465,10.579,10.779,22.68,283.78162,0.802719,0.16830294,0.0,1007.5353,297.55273,290.3232,291.03757,19.64558,19.064768,20.730501,15.042659,11.5965,12.3965,8.1465,5.3965,0.321,0.323,0.327,0.337,0.343
16,2023-01-01 16:00:00+00:00,11.907499,8.732848,0.0,45.0,0.34080327,,0.0,0.0,0.0,0.0,0.0,1014.2,0.0,0.0,0.0,0.0,45000.0,9.6465,10.579,10.679,20.519999,280.954,0.7679153,0.08144334,0.0,1008.0236,288.03436,295.90643,295.34613,22.734219,16.61654,14.007655,7.5685663,9.5965,11.7465,8.3965,5.4465,0.32,0.322,0.326,0.336,0.343
17,2023-01-01 17:00:00+00:00,9.9575,6.9073563,0.0,47.0,-0.8428611,,0.0,0.0,0.0,0.0,0.0,1014.6,0.0,0.0,0.0,0.0,42300.0,9.7465,10.129001,10.179,11.879999,284.69736,0.65013653,0.047340028,-0.0,1008.3787,282.9074,308.92755,336.8014,22.702845,18.094635,12.031756,5.4833565,7.5465,10.4965,8.4965,5.4965,0.32,0.322,0.326,0.336,0.343
